book_link	book_description
https://www.goodreads.com/book/show/20518872	The Three-Body Problem is the first chance for English-speaking readers to experience the Hugo Award-winning phenomenon from China&apos;s most beloved science fiction author, Liu Cixin.Set against the backdrop of China&apos;s Cultural Revolution, a secret military project sends signals into space to establish contact with aliens. An alien civilization on the brink of destruction cap
https://www.goodreads.com/book/show/2657	The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. "To Kill A Mockingbird" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and dee
https://www.goodreads.com/book/show/10127019	Most startups fail. But many of those failures are preventable. The Lean Startup is a new approach being adopted across the globe, changing the way companies are built and new products are launched. Eric Ries defines a startup as an organization dedicated to creating something new under conditions of extreme uncertainty. This is just as true for one person in a garage or a
https://www.goodreads.com/book/show/10572	A comet the color of blood and flame cuts across the sky. Two great leaders—Lord Eddard Stark and Robert Baratheon—who hold sway over an age of enforced peace are dead, victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns. Six factions struggle for control of a divided land and the Iron Throne of the
https://www.goodreads.com/book/show/44796	Based on the life of Paul Gauguin, The Moon and Sixpence is W. Somerset Maugham&apos;s ode to the powerful forces behind creative genius. Charles Strickland is a staid banker, a man of wealth and privilege. He is also a man possessed of an unquenchable desire to create art. As Strickland pursues his artistic vision, he leaves London for Paris and Tahiti, and in his quest makes
https://www.goodreads.com/book/show/54511226	From Brandon Sanderson author of the #1 New York Times bestselling Stormlight Archive and its fourth massive installment, Rhythm of War—comes a new hefty novella, Dawnshard. Taking place between Oathbringer and Rhythm of War, this tale (like Edgedancer before it) gives often-overshadowed characters their own chance to shine.When a ghost ship is discovered, its crew presume
https://www.goodreads.com/book/show/13284283	George R. R. Martin&apos;s monumental fantasy epic continues in this dazzlingly wrought graphic novel adaptation. In the second volume of A Game of Thrones, the irresistible plot thickens and the spellbinding magic of a master storyteller deepens.For Eddard Stark, Lord of Winterfell and Warden of the North, a new role now beckons: Hand of the King-a position of power second onl
https://www.goodreads.com/book/show/51942513	Jay Shetty, social media superstar and host of the #1 podcast On Purpose, distills the timeless wisdom he learned as a monk into practical steps anyone can take every day to live a less anxious, more meaningful life.When you think like a monk, you’ll understand:- How to overcome negativity- How to stop overthinking- Why comparison kills love- How to use your fear- Why you
https://www.goodreads.com/book/show/10357575	The year is 1984 and the city is Tokyo.A young woman named Aomame follows a taxi driver’s enigmatic suggestion and begins to notice puzzling discrepancies in the world around her. She has entered, she realizes, a parallel existence, which she calls 1Q84 —“Q is for ‘question mark.’ A world that bears a question.” Meanwhile, an aspiring writer named Tengo takes on a suspect
https://www.goodreads.com/book/show/36465363	EnglishMein Kampf - "My Struggle") is an autobiography by the National Socialist leader Adolf Hitler, in which he outlines his political ideology and future plans for Germany. Volume 1 of Mein Kampf was published in 1925 and Volume 2 in 1926. The book was edited by Hitler&apos;s deputy Rudolf Hess.Hitler began dictating the book to Hess while imprisoned for what he considered t
https://www.goodreads.com/book/show/6186357	There are alternate cover editions for this ASIN here and here.If you ain’t scared, you ain’t human. When Thomas wakes up in the lift, the only thing he can remember is his name. He’s surrounded by strangers—boys whose memories are also gone. Nice to meet ya, shank. Welcome to the Glade. Outside the towering stone walls that surround the Glade is a limitless, ever-changing
https://www.goodreads.com/book/show/2095	Stephen Hawking’s phenomenal, multimillion-copy bestseller, A Brief History of Time, introduced the ideas of this brilliant theoretical physicist to readers all over the world.Now, in a major publishing event, Hawking returns with a lavishly illustrated sequel that unravels the mysteries of the major breakthroughs that have occurred in the years since the release of his ac
https://www.goodreads.com/book/show/45967	Considered the most important work of modern Iranian literature, The Blind Owl is a haunting tale of loss and spiritual degradation. Replete with potent symbolism and terrifying surrealistic imagery, Sadegh Hedayat&apos;s masterpice details a young man&apos;s despair after losing a mysterious lover. And as the author gradually drifts into frenzy and madness, the reader becomes caugh
https://www.goodreads.com/book/show/36315937	The natural magic of the classic The Island of the Blue Dolphins meets the danger and courage of The Hunger Games in this dazzling, intricate stand-alone fantasy novel set in award-winning author Sarah Beth Durst’s beloved world of Renthia.Life is precious and precarious on the islands of Belene. Besieged by a capricious ocean full of malicious spirits, the people of the i
https://www.goodreads.com/book/show/2623	&apos;In what may be Dickens&apos;s best novel, humble, orphaned Pip is apprenticed to the dirty work of the forge but dares to dream of becoming a gentleman — and one day, under sudden and enigmatic circumstances, he finds himself in possession of "great expectations." In this gripping tale of crime and guilt, revenge and reward, the compelling characters include Magwitch, the fear
https://www.goodreads.com/book/show/42196268	This book contains a list of the different sales funnels you can build in your business. Plus a list of pages for each of the funnel and a list of elements for those pages.
https://www.goodreads.com/book/show/11987	One of the most influential works of this century, this is a crucial exposition of existentialist thought. Influenced by works such as Don Juan, and the novels of Kafka, these essays begin with a meditation on suicide: the question of living or not living in an absurd universe devoid of order or meaning. With lyric eloquence, Camus posits a way out of despair, reaffirming
https://www.goodreads.com/book/show/51082971	International best-selling author and spiritual guide Kamlesh D. Patel explains how to use the spiritual practices of Heartfulness to expand your consciousness, evolve your mind, find true happiness, and live your purpose.What does destiny mean in the course of our lives? What is fixed and what can we change?We create our destiny, step-by-step, through the journey of life.
https://www.goodreads.com/book/show/5968988	In the early 30s, a detective by the name of Byomkesh Bakshi made an entry into the world of Bengali fiction. This book contains seven of his most entertaining adventures, competently translated. At each reading, one can only marvel at the writer&apos;s genius.
https://www.goodreads.com/book/show/12617	In this pathbreaking work, Edward S. Herman and Noam Chomsky show that, contrary to the usual image of the news media as cantankerous, obstinate, and ubiquitous in their search for truth and defense of justice, in their actual practice they defend the economic, social, and political agendas of the privileged groups that dominate domestic society, the state, and the global
https://www.goodreads.com/book/show/194746	Osamu Dazai&apos;s No Longer Human, this leading postwar Japanese writer&apos;s second novel, tells the poignant and fascinating story of a young man who is caught between the breakup of the traditions of a northern Japanese aristocratic family and the impact of Western ideas. In consequence, he feels himself "disqualified from being human" (a literal translation of the Japanese tit
https://www.goodreads.com/book/show/6350887	The Maradonia Sagastarts as an everyday story. A girl called Maya and a boy called Joey found a mysterious place in a forbidden area which opened the way to a World between the Worlds Maradonia. The Land of MaradoniaWith their arrival in Maradonia a prophecy is fulfilled. Overnight their simple life in the small city of Oceanside has changed completely and they are thrust
https://www.goodreads.com/book/show/55772152	
https://www.goodreads.com/book/show/662	This is the story of a man who said that he would stop the motor of the world and did. Was he a destroyer or the greatest of liberators?Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer
https://www.goodreads.com/book/show/12996	In Othello, Shakespeare creates a powerful drama of a marriage that begins with fascination (between the exotic Moor Othello and the Venetian lady Desdemona), with elopement, and with intense mutual devotion and that ends precipitately with jealous rage and violent deaths. He sets this story in the romantic world of the Mediterranean, moving the action from Venice to the i
https://www.goodreads.com/book/show/8113026	Nelson Mandela is widely considered to be one of the most inspiring and iconic figures of our age. Now, after a lifetime of taking pen to paper to record thoughts and events, hardships and victories, he has bestowed his entire extant personal papers, which offer an unprecedented insight into his remarkable life.A singular international publishing event, Conversatio
https://www.goodreads.com/book/show/44770129	Learn a new talent, stay relevant, reinvent yourself, and adapt to whatever the workplace throws your way. Ultralearning offers nine principles to master hard skills quickly. This is the essential guide to future-proof your career and maximize your competitive advantage through self-education.In these tumultuous times of economic and technological change, staying ahead
https://www.goodreads.com/book/show/11468377	In the highly anticipated Thinking, Fast and Slow, Kahneman takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. Kahneman exposes the extraordinary capabilities—and also the faults and biases—of fast thinking, and reveals t
https://www.goodreads.com/book/show/15843166	The #1 New York Times Bestseller You Are A Badass is the self-help book for people who desperately want to improve their lives but don&apos;t want to get busted doing it.In this refreshingly entertaining how-to guide, #1 New York Times Bestselling Author and world-traveling success coach, Jen Sincero, serves up 27 bite-sized chapters full of hilariously inspiring stories, sage
https://www.goodreads.com/book/show/54033845	A timely, must-have guide to understanding and overcoming bias in the workplace, from the experts at FranklinCovey.Unconscious bias affects everyone. It can look like the disappointment of an HR professional when a candidate for a new position asks about maternity leave. It can look like preferring the application of an Ivy League graduate over one from a state school. It
https://www.goodreads.com/book/show/641604	The acclaimed Wall Street Journal and Business Week Bestseller.You&apos;re either a Purple Cow or you&apos;re not. You&apos;re either remarkable or invisible. Make your choice. What do Starbucks and JetBlue and KrispyKreme and Apple and DutchBoy and Kensington and Zespri and Hard Candy have that you don&apos;t? How do they continue to confound critics and achieve spectacular growth, leaving b
https://www.goodreads.com/book/show/30257963	What does everyone in the modern world need to know? Renowned psychologist Jordan B. Peterson&apos;s answer to this most difficult of questions uniquely combines the hard-won truths of ancient tradition with the stunning revelations of cutting-edge scientific research.Humorous, surprising, and informative, Dr. Peterson tells us why skateboarding boys and girls must be left alon
https://www.goodreads.com/book/show/147941	Hardback book. 204 pages.
https://www.goodreads.com/book/show/4671	Alternate Cover Edition ISBN: 0743273567 (ISBN13: 9780743273565)The Great Gatsby, F. Scott Fitzgerald&apos;s third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story is of the fabulously wealthy Jay Gatsby and his new love for the beautiful Daisy Buchanan, of lavish parties on Long
https://www.goodreads.com/book/show/10917	Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kate—a life and a role that she has never challenged..
https://www.goodreads.com/book/show/8921	We owe The Hound of the Baskervilles (1902) to Arthur Conan Doyle&apos;s good friend Fletcher "Bobbles" Robinson, who took him to visit some scary English moors and prehistoric ruins, and told him marvelous local legends about escaped prisoners and a 17th-century aristocrat who fell afoul of the family dog. Doyle transmogrified the legend: generations ago, a hound of hell tore
https://www.goodreads.com/book/show/25251380	I want to be direct, my name is Greg. I go by "Onision" online. This book is made up of events that occurred in my own life mixed with fiction from the made up life of James. James is essentially a better version of myself. His home, his school & his life all resemble my own at his age. The people James analyzes and is surrounded by are not so unlike those I&apos;ve known as we
https://www.goodreads.com/book/show/32831	After hijacking a balloon from a Confederate camp, a band of five northern prisoners escapes the American Civil War. Seven thousand miles later, they drop from the clouds onto an uncharted volcanic island in the Pacific. Through teamwork, scientific knowledge, engineering, and perseverance, they endeavour to build a colony from scratch. But this island of abundant resource
https://www.goodreads.com/book/show/117833	The first complete, annotated English Translation of Mikhail Bulgakov&apos;s comic masterpiece.An audacious revision of the stories of Faust and Pontius Pilate, The Master and Margarita is recognized as one of the essential classics of modern Russian literature. The novel&apos;s vision of Soviet life in the 1930s is so ferociously accurate that it could not be published during its a
https://www.goodreads.com/book/show/35510008	The Sunday Times Number One Bestseller and Humour Book of the YearWinner of the Books Are My Bag Book of the YearWinner of iBooks&apos; Book of the YearWelcome to the life of a junior doctor: 97-hour weeks, life and death decisions, a constant tsunami of bodily fluids, and the hospital parking meter earns more than you.Scribbled in secret after endless days, sleepless nights an
https://www.goodreads.com/book/show/228063	Watanuki Kimihiro is haunted by visions of ghosts and spirits. Seemingly by chance, he encounters a mysterious witch named Yuuko, who claims she can help. In desperation, he accepts, but realizes that he&apos;s just been tricked into working for Yuuko in order to pay off the cost of her services. Soon he&apos;s employed in her little shop--a job which turns out to be nothing like hi
https://www.goodreads.com/book/show/960	World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. In a desperate race to save the Vatican from a powerful time bomb
https://www.goodreads.com/book/show/18405	Scarlett O&apos;Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman&apos;s March to the Sea.
https://www.goodreads.com/book/show/30	This four-volume, boxed set contains J.R.R. Tolkien&apos;s epic masterworks The Hobbit and the three volumes of The Lord of the Rings (The Fellowship of the Ring, The Two Towers, and The Return of the King).In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in
https://www.goodreads.com/book/show/33	One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, i
https://www.goodreads.com/book/show/52762903	Eva Traube Abrams, a semi-retired librarian in Florida, is shelving books one morning when her eyes lock on a photograph in a magazine lying open nearby. She freezes; it’s an image of a book she hasn’t seen in sixty-five years—a book she recognizes as The Book of Lost Names. The accompanying article discusses the looting of libraries by the Nazis across Europe during World
https://www.goodreads.com/book/show/533016	An ice-cold killer is on the loose, and brilliant Dr. Kenzo Tenma is the only one who can stop him! Conspiracies, serial murders, and a scathing indictment of hospital politics are all masterfully woven together in this compelling manga thriller. Tenma risks his promising medical career to save the life of a critically wounded young boy. Unbeknownst to him, this child is d
https://www.goodreads.com/book/show/26541659	Su švelniu humoru parašyta istorija apie mergaitę Polianą, išmokiusią apylinkės žmones žaisti “džiaugsmo žaidimą".
https://www.goodreads.com/book/show/25541028	Elon Musk, the entrepreneur and innovator behind SpaceX, Tesla, and SolarCity, sold one of his internet companies, PayPal, for $1.5 billion. Ashlee Vance captures the full spectacle and arc of the genius&apos;s life and work, from his tumultuous upbringing in South Africa and flight to the United States to his dramatic technical innovations and entrepreneurial pursuits. Vance u
https://www.goodreads.com/book/show/1885	Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work "her own darling child" and its vivacious heroine, Elizabeth Bennet, "as delightful a creature as ever appeared in print." The romantic clash between the opinionated
https://www.goodreads.com/book/show/1166131	CHERUB agents are highly trained, extremely talented--and all under the age of seventeen. For official purposes, these agents do not exist. They are sent out on missions to spy on terrorists, hack into crucial documents, and gather intel on global threats—all without gadgets or weapons. It is an exceptionally dangerous job, but these agents have one crucial advantage: adul
https://www.goodreads.com/book/show/98233	Founders at Work: Stories of Startups&apos; Early Days is a collection of interviews with founders of famous technology companies about what happened in the very earliest days. These people are celebrities now. What was it like when they were just a couple friends with an idea? Founders like Steve Wozniak (Apple), Caterina Fake (Flickr), Mitch Kapor (Lotus), Max Levchin (PayPal
https://www.goodreads.com/book/show/5472	This edition features George Orwell&apos;s best known novels – 1984 and Animal Farm – with an introduction by Christopher Hitchens. In 1984, London is a grim city where Big Brother is always watching you and the Thought Police can practically read your mind.  Winston Smith joins a secret revolutionary organization called The Brotherhood, dedicated to the destruction of the Part
https://www.goodreads.com/book/show/26233561	Discover The Real Reason You’re Not Achieving Your Financial Goals No Matter What You Try – And The Very First Thing You Must Do Differently To Ever Stand A Chance Of Getting Rich
https://www.goodreads.com/book/show/30597	This extraordinary historical novel, set in Medieval Paris under the twin towers of its greatest structure and supreme symbol, the cathedral of Notre-Dame, is the haunting drama of Quasimodo, the hunchback; Esmeralda, the gypsy dancer; and Claude Frollo, the priest tortured by the specter of his own damnation. Shaped by a profound sense of tragic irony, it is a work that g
https://www.goodreads.com/book/show/535739	For more than a century and a half, Dream of the Red Chamber has been recognized in China as the greatest of its novels, a Chinese Romeo-and-Juliet love story and a portrait of one of the world&apos;s great civilizations. Chi-chen Wang&apos;s translation is skillful and accurate.
https://www.goodreads.com/book/show/53639	The classic novel, international sensation, and inspiration for the film starring Anthony Quinn explores the struggle between the aesthetic and the rational, the inner life and the life of the mind.The classic novel Zorba the Greek is the story of two men, their incredible friendship, and the importance of living life to the fullest. Zorba, a Greek working man, is a larger
https://www.goodreads.com/book/show/40672036	Minimalism is the art of knowing how much is just enough. Digital minimalism applies this idea to our personal technology. It&apos;s the key to living a focused life in an increasingly noisy world.In this timely and enlightening book, the bestselling author of Deep Work introduces a philosophy for technology use that has already improved countless lives.Digital minimalists are
https://www.goodreads.com/book/show/27822	Eugene Onegin is the master work of the poet whom Russians regard as the fountainhead of their literature. Set in imperial Russia during the 1820s, Pushkin&apos;s novel in verse follows the emotions and destiny of three men - Onegin the bored fop, Lensky the minor elegiast, and a stylized Pushkin himself - and the fates and affections of three women - Tatyana the provincial bea
https://www.goodreads.com/book/show/17913961	با مدیریت زمان، مدیریت زندگی را در دست بگیرید و موفقیت بیشتری کسب نمائید.ممکن است افراد با استعدادی را اطراف خود ببینید که چندان موفق نیستند. تنها یک دلیل برای آن وجود دارد! استفاده نکردن درست از زمان.عنصر ضروری برای دستیابی به موفقیت در زندگی و کسب‌و‌کار، مدیریت زمان است. مدیریت زمان، یک مهارت است که می‌توانید تکنیک‌های آن را یاد بگیرید و تکرار کنید. افراد موفق به هیچ عنو
https://www.goodreads.com/book/show/29399376	In Acres of Diamonds, Russell Conwell shows success is a spiritual idea--the result of spiritual principles. Though not a "get rich guide," Conwell&apos;s book shows how to find a fortune-if you know where to look. There are as many opportunities for success today as in Conwell&apos;s time, if not more so, because they are found first and foremost in one&apos;s own conscience. Through hi
https://www.goodreads.com/book/show/51807232	Private Detective Cormoran Strike is visiting his family in Cornwall when he is approached by a woman asking for help finding her mother, Margot Bamborough — who went missing in mysterious circumstances in 1974.Strike has never tackled a cold case before, let alone one forty years old. But despite the slim chance of success, he is intrigued and takes it on; adding to the l
https://www.goodreads.com/book/show/11527627	"The Summons of the Divine Presence extends across time and place through all heaven-sent revelations. At the core of every heart it reaches it creates a desire to lift the veil between the human and the Divine, not merely to believe and worship and practice, but to see, know, and be with the One who is greater than all. Sufism is a way of worship of the Divine through suc
https://www.goodreads.com/book/show/41214329	This comprehensive and beautifully illustrated introduction to trees and the important role they play is part of the essential Nature All Around series. The book first explores the parts of trees, their life cycles, the difference between deciduous and evergreen trees, leaf types and the processes of photosynthesis and respiration. Then it takes readers through a year in t
https://www.goodreads.com/book/show/43701061	In the small north Florida town of Seabrook, a young lawyer named Keith Russo was shot dead at his desk as he worked late one night. The killer left no clues behind. There were no witnesses, no real suspects, no one with a motive. The police soon settled on Quincy Miller, a young black man who was once a client of Russo’s.Quincy was framed, convicted, and sent to prison fo
https://www.goodreads.com/book/show/17877	Accused of political subversion as a young man, Fyodor Dostoyevsky was sentenced to four years of hard labor at a Siberian prison camp — a horrifying experience from which he developed this astounding semi-autobiographical memoir of a man condemned to ten years of servitude for murdering his wife.As with a number of the author&apos;s other works, this profoundly influential nov
https://www.goodreads.com/book/show/18176747	A lot of people talk about how great it is to start a business, but only Ben Horowitz is brutally honest about how hard it is to run one.In The Hard Thing About Hard Things, Ben Horowitz, cofounder of Andreessen Horowitz and one of Silicon Valley&apos;s most respected and experienced entrepreneurs, draws on his own story of founding, running, selling, buying, managing, and inve
https://www.goodreads.com/book/show/28996827	THE GREAT GATSBY is a 1925 novel written by American author F. Scott Fitzgerald that follows a cast of characters living in the fictional town of West Egg on prosperous Long Island in the summer of 1922. The story primarily concerns the young and mysterious millionaire Jay Gatsby and his quixotic passion and obsession for the beautiful former debutante Daisy Buchanan. Cons
https://www.goodreads.com/book/show/359194	Renowned social psychologist and creator of the "Stanford Prison Experiment," Philip Zimbardo explores the mechanisms that make good people do bad things, how moral people can be seduced into acting immorally, and what this says about the line separating good from evil.The Lucifer Effect explains how—and the myriad reasons why—we are all susceptible to the lure of “the dar
https://www.goodreads.com/book/show/228665	The Wheel of Time turns and Ages come and pass. What was, what will be, and what is, may yet fall under the Shadow.Let the Dragon ride again on the winds of time.The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of P
https://www.goodreads.com/book/show/687278	The beautiful practicality of her teaching has made Pema Chödrön one of the most beloved of contemporary American spiritual authors among Buddhists and non-Buddhists alike. A collection of talks she gave between 1987 and 1994, the book is a treasury of wisdom for going on living when we are overcome by pain and difficulties. Chödrön discusses:    •  Using painful emotions
https://www.goodreads.com/book/show/117047	***30th Anniversary Edition*** Cover note: Each copy of the anniversary edition of The Blind Watchmaker features a unique biomorph. No two covers are exactly alike.Acclaimed as the most influential work on evolution written in the last hundred years, The Blind Watchmaker offers an inspiring and accessible introduction to one of the most important scientific discoveries of
https://www.goodreads.com/book/show/1768603	Introducing a major literary talent, The White Tiger offers a story of coruscating wit, blistering suspense, and questionable morality, told by the most volatile, captivating, and utterly inimitable narrator that this millennium has yet seen. Balram Halwai is a complicated man. Servant. Philosopher. Entrepreneur. Murderer. Over the course of seven nights, by the scattered
https://www.goodreads.com/book/show/2991082	Control your nerves, prepare a presentation that moves people, craft robust openings and endings, use visual aids to amplify your talk, rehearse to get the best results.
https://www.goodreads.com/book/show/22609391	Librarian&apos;s note: An alternate cover edition can be found hereTwo-time winner of the Pulitzer Prize David McCullough tells the dramatic story-behind-the-story about the courageous brothers who taught the world how to fly: Wilbur and Orville Wright.On a winter day in 1903, in the Outer Banks of North Carolina, two unknown brothers from Ohio changed history. But it would tak
https://www.goodreads.com/book/show/482579	This is a "success manual" that gives readers a step by step plan for taking control of their lives and unleashing their incredible potential. The book consists of 12 Lessons: Your Attitude is Your Window to the World; You&apos;re A Human Magnet; Picture Your Way to Success; Make a Commitment and You&apos;ll Move Mountains; Turn Your Problems into Opportunities; Your Words Blaze A T
https://www.goodreads.com/book/show/55452991	Kitty Spencer has been in love with Judge since she can remember, and when he asks for her sister&apos;s hand in marriage, she knows her heart may never heal. But one turn of events changes everything and she realizes maybe things aren’t always as they seem. Judge Russo has had his plan in place for years. But just when he thinks he’s getting everything he wants, Kitty goes and
https://www.goodreads.com/book/show/45754981	From the award-winning author of Station Eleven, an exhilarating novel set at the glittering intersection of two seemingly disparate events–a massive Ponzi scheme collapse and the mysterious disappearance of a woman from a ship at sea.Vincent is a bartender at the Hotel Caiette, a five-star lodging on the northernmost tip of Vancouver Island. On the night she meets Jonatha
https://www.goodreads.com/book/show/11438	Alternate-cover edition can be found here In his second collection, Carver establishes his reputation as one of the most celebrated and beloved short-story writers in American literature—a haunting meditation on love, loss, and companionship, and finding one’s way through the dark.
https://www.goodreads.com/book/show/55313605	
https://www.goodreads.com/book/show/10818853	When literature student Anastasia Steele goes to interview young entrepreneur Christian Grey, she encounters a man who is beautiful, brilliant, and intimidating. The unworldly, innocent Ana is startled to realize she wants this man and, despite his enigmatic reserve, finds she is desperate to get close to him. Unable to resist Ana’s quiet beauty, wit, and independent spiri
https://www.goodreads.com/book/show/18705209	Nico had warned them. Going through the House of Hades would stir the demigods&apos; worst memories. Their ghosts would become restless. Nico may actually become a ghost if he has to shadow-travel with Reyna and Coach Hedge one more time. But that might be better than the alternative: allowing someone else to die, as Hades foretold.Jason&apos;s ghost is his mother, who abandoned him
