user	item1	item2	rating	aspects	liked/disliked-aspects	comment
24	130	6	1	similar actor: Orlando Bloom------similar genre: Action, Fantasy, Adventure------similar content: action, fantasy, sword fight, magic, adventure	actor	nan
24	130	17	1	similar genre: Fantasy, Adventure------similar content: fantasy, magic	genre	nan
24	130	758	1	similar genre: Fantasy, Adventure------similar content: fantasy, magic, based on a book	genre	nan
24	130	319	1	similar genre: Fantasy, Adventure------similar content: fantasy, slow, magic, adventure	genre	nan
17	137	10	1	similar genre: Drama, Thriller------similar content: mystery, dark, clever, atmospheric, psychological	content	nan
17	137	140	1	similar genre: Drama, Crime------similar content: based on a book, Oscar Nominee: Best Picture, violence, crime, drama	genre	nan
17	137	599	1	similar genre: Thriller------similar content: mystery, dark, psychology, psychological thriller, violence	content	nan
17	137	600	1	similar genre: Drama, Thriller------similar content: mystery, dark, atmospheric, psychology, creepy	content	nan
17	137	121	1	similar genre: Drama, Thriller------similar content: mystery, dark, atmospheric, based on a book, creepy	genre	nan
17	139	298	1	similar genre: Drama, Crime------similar content: organized crime, disturbing, drugs, imdb top 250, crime	genre	nan
17	139	140	1	similar genre: Drama, Crime------similar content: organized crime, based on a true story, gangs, crime, stylized	genre	nan
17	139	371	1	similar genre: Drama, Crime------similar content: organized crime, imdb top 250, crime	content	nan
17	139	119	1	similar genre: Drama, Crime------similar content: organized crime, dark, imdb top 250, atmospheric, crime	genre	nan
17	139	125	1	similar genre: Drama, Crime------similar content: organized crime, crime	genre	nan
17	269	2	1	similar genre: Drama, Science Fiction------similar content: beautiful, love, sci-fi, complicated, thought-provoking	content	nan
17	269	264	-1	similar genre: Drama, Science Fiction------similar content: romance, nonlinear, thought-provoking, sci-fi, heartbreak	genre	nan
17	269	268	-1	similar genre: Drama------similar content: imdb top 250, great acting	genre	nan
17	269	207	1	similar genre: Drama------similar content: love, psychology, thought-provoking, imdb top 250, emotional	content	nan
17	269	148	1	similar genre: Drama, Romance------similar content: romance, intelligent, love, psychology	content	nan
21	2	99	-1	similar genre: Drama------similar content: visually appealing, Matthew McConaughey, thought-provoking, drama, long	content	nan
21	2	72	1	similar genre: Drama------similar content: drama, emotional, sentimental, long, nostalgic	genre, content	nan
21	2	75	1	similar content: drama, philosophical, bad ending, twist ending	content	nan
21	2	109	-1	similar genre: Drama------similar content: soundtrack, drama, smart	genre	true story and fictional mapping
21	2	54	-1	similar content: visually appealing, boring, soundtrack, action	content	nan
21	6	260	-1	nan	genre, content	motivation to adventure mapping
21	6	72	-1	similar genre: Fantasy	genre	nan
21	6	269	-1	similar content: romance, fantasy, comedy, quirky	content	nan
21	6	254	-1	similar content: soundtrack, comedy	content	nan
21	6	286	-1	nan	genre	nan
21	780	193	1	similar genre: Animation------similar content: animation, friendship, adventure	genre, content	nan
21	780	296	1	similar genre: Animation------similar content: animation, friendship	genre	nan
21	780	172	1	similar genre: Animation------similar content: animation, friendship, adventure	genre, content	nan
21	780	110	1	similar genre: Animation------similar content: childish, animation	genre, content	nan
21	780	176	1	similar genre: Animation------similar content: animation, friendship	genre, content	nan
12	514	480	1	similar genre: Action, Thriller------similar content: crime	genre	nan
12	514	484	1	similar genre: Thriller------similar content: crime	genre	nan
12	514	472	1	similar genre: Action, Thriller, Crime------similar content: action	genre	nan
12	514	474	-1	similar genre: Action, Thriller, Crime------similar content: action	content	nan
12	514	93	1	similar genre: Action, Thriller------similar content: action, predictable, thriller, crime	genre	nan
12	647	135	-1	similar genre: Drama, Thriller------similar content: realistic, thriller	content	nan
12	647	75	-1	similar genre: Thriller------similar content: thriller	genre	nan
12	647	475	1	similar genre: Drama, Thriller	content	nan
12	647	477	-1	similar genre: Drama, Thriller	content	nan
12	647	478	-1	similar genre: Drama, Thriller	content	nan
12	525	462	1	similar genre: Drama, Thriller, Crime------similar content: crime	content	nan
12	525	468	-1	similar genre: Drama, Thriller, Crime------similar content: violence, crime	content	nan
12	525	475	1	similar genre: Drama, Thriller, Crime------similar content: crime	content	nan
12	525	477	1	similar genre: Drama, Thriller, Crime------similar content: heist, crime	content	nan
12	525	478	1	similar genre: Drama, Thriller, Crime------similar content: police, crime	content	nan
10	107	421	1	similar genre: Animation, Adventure, Family------similar content: funny, animated, family, animation, predictable	genre	nan
10	107	296	1	similar genre: Animation, Family------similar content: animation, friendship, Disney, father-son relationship, talking animals	genre	nan
10	107	172	1	similar genre: Comedy, Animation, Family------similar content: funny, comedy, family, animated, cartoon	genre	nan
10	107	110	1	similar director: Pete Docter------similar genre: Comedy, Animation, Family------similar content: bittersweet, Pete Docter, family, funny, boring	content	nan
10	107	40	1	similar genre: Comedy, Animation, Adventure, Family------similar content: bittersweet, comedy, family, touching, animation	genre	nan
10	780	421	1	similar genre: Animation, Adventure------similar content: action, animation, adventure	genre	nan
10	780	40	1	similar genre: Animation, Adventure------similar content: animation, friendship, adventure	genre	nan
10	780	172	1	similar genre: Animation------similar content: animation, friendship, adventure	genre	nan
10	780	110	1	similar genre: Animation------similar content: childish, animation	genre	nan
10	780	296	1	similar genre: Animation------similar content: animation, friendship	genre	nan
10	788	416	1	similar genre: Action, Thriller------similar content: action	content	nan
10	788	417	1	similar genre: Action, Science Fiction, Thriller------similar content: action	content	nan
10	788	419	1	similar genre: Action, Science Fiction, Thriller------similar content: action	content	nan
10	788	422	1	similar genre: Action, Thriller------similar content: action	genre	nan
10	788	103	1	similar genre: Action, Thriller------similar content: action	genre	nan
16	512	580	1	similar genre: Drama, History------similar content: based on a true story, biography, true story, inspirational	content	nan
16	512	585	1	similar genre: Drama, History------similar content: drama, biography	content	nan
16	512	301	1	similar genre: Drama, History------similar content: based on a true story, Oscar Nominee: Best Picture, drama, true story, inspirational	content	nan
16	512	253	1	similar genre: Drama, History------similar content: based on a true story, Oscar Nominee: Best Picture, long, drama, true story	content	nan
16	512	510	1	similar genre: Drama, History------similar content: drama, cinematography, biography	content	nan
16	386	580	-1	nan	genre	nan
16	386	581	-1	nan	genre	nan
16	386	589	-1	nan	genre	nan
16	386	572	-1	nan	genre	nan
16	386	510	-1	nan	genre	nan
16	646	578	1	similar genre: Drama------similar content: inspirational	content	nan
16	646	579	1	similar genre: Drama	genre	nan
16	646	587	1	similar actor: Nick Nolte------similar genre: Drama	genre	nan
16	646	589	-1	similar genre: Drama	genre	nan
16	646	573	1	similar genre: Drama	genre	nan
25	129	5	1	similar director: Peter Jackson------similar actor: Elijah Wood, Orlando Bloom, Viggo Mortensen, Ian McKellen, Sean Astin------similar genre: Action, Fantasy, Adventure------similar content: friendship, great soundtrack, high fantasy, fantasy, author:J. R. R. Tolkein	genre	nan
25	129	6	1	similar actor: Orlando Bloom------similar genre: Action, Fantasy, Adventure------similar content: romance, fantasy, magic, adventure	genre	content as well
25	129	648	-1	similar genre: Adventure------similar content: fantasy, quest, magic, adventure, mythology	genre	simple plot
25	129	150	1	similar genre: Action------similar content: war	content	nan
25	129	349	1	similar genre: Fantasy, Adventure------similar content: literary adaptation, based on a book, fantasy world, fantasy, wizards	genre	nan
25	130	5	1	similar director: Peter Jackson------similar actor: Elijah Wood, Orlando Bloom, Viggo Mortensen, Ian McKellen, Sean Astin------similar genre: Action, Fantasy, Adventure------similar content: great soundtrack, high fantasy, Director: Peter Jackson, fantasy, based on a book	genre, content	nan
25	130	6	1	similar actor: Orlando Bloom------similar genre: Action, Fantasy, Adventure------similar content: action, fantasy, sword fight, magic, adventure	genre	nan
25	130	648	-1	similar genre: Adventure------similar content: fantasy, mythology, magic, adventure	genre	nan
25	130	150	1	similar genre: Action------similar content: action, war	content	nan
25	130	349	1	similar genre: Fantasy, Adventure------similar content: magic, based on a book, fantasy world, fantasy, wizards	genre	nan
25	235	97	-1	nan	genre	nan
25	235	164	1	nan	genre	nan
25	235	535	1	similar content: horror, children	genre	nan
25	235	789	1	similar genre: Horror------similar content: horror	content	nan
25	235	23	1	similar genre: Horror------similar content: horror	genre, content	nan
22	2	97	1	similar genre: Science Fiction------similar content: visually appealing, sci-fi, smart	genre	nan
22	2	100	1	similar genre: Adventure------similar content: soundtrack, action, Hans Zimmer, adventure	content; genre	nan
22	2	102	-1	similar genre: Drama------similar content: visually appealing	storyline	nan
22	2	82	1	similar content: action	storytelling; content; genre	nan
22	2	90	-1	similar genre: Adventure------similar content: Bechdel Test:Pass	genre	nan
22	648	705	1	similar genre: Comedy, Family------similar content: fantasy, musical	genre	nan
22	648	519	1	similar genre: Animation, Adventure, Family------similar content: soundtrack, fantasy, animation, adventure	genre; content	nan
22	648	717	1	similar genre: Animation, Adventure, Family------similar content: soundtrack, animation, strong female lead, Disney, musical	genre	nan
22	648	720	1	similar genre: Comedy, Animation, Family------similar content: animation, Disney	genre	nan
22	648	219	1	similar director: Ron Clements, John Musker------similar genre: Animation, Adventure, Family------similar content: magic, fantasy, animation, adventure, musical	genre	nan
22	649	328	1	similar genre: Animation, Family------similar content: animation, princess, Disney, musical	content	nan
22	649	717	1	similar genre: Animation, Family------similar content: animation, musical, Disney	content	nan
22	649	720	1	similar genre: Animation, Family------similar content: animation, Disney	content	nan
22	649	216	1	similar genre: Animation, Family------similar content: animation, Disney	genre	nan
22	649	90	1	similar genre: Animation, Family------similar content: animation, princess, Disney	genre; content; storytelling; actor	nan
13	768	9	1	similar genre: Fantasy------similar content: fantasy, werewolf, magic, based on a book	content	nan
13	768	494	-1	similar genre: Action, Fantasy------similar content: fantasy, magic, based on a book	genre	nan
13	768	344	1	similar genre: Fantasy------similar content: fantasy, magic, based on a book	genre	nan
13	768	345	1	similar genre: Fantasy------similar content: fantasy, magic, based on a book	genre	nan
13	768	347	1	similar genre: Mystery, Fantasy------similar content: fantasy, magic, based on a book	genre	nan
13	519	9	1	similar genre: Fantasy, Adventure------similar content: fantasy, based on a book	content	nan
13	519	494	-1	similar genre: Fantasy, Adventure------similar content: based on a book, dragon, fantasy, adventure, action	content	nan
13	519	344	-1	similar genre: Fantasy, Adventure------similar content: fantasy, adventure, based on a book	genre	nan
13	519	345	1	similar genre: Fantasy, Adventure------similar content: soundtrack, fantasy, adventure, based on a book	genre	nan
13	519	348	-1	similar genre: Fantasy, Adventure, Family------similar content: soundtrack, fantasy, based on a book, adventure, dragons	genre	nan
13	527	16	1	similar genre: Action, Fantasy, Adventure------similar content: action, superhero	content	nan
13	527	497	1	similar genre: Action, Science Fiction, Adventure------similar content: action, comic book, superhero, based on a comic, Marvel	content	nan
13	527	498	1	similar genre: Action, Science Fiction, Adventure------similar content: superhero, sci-fi, based on a comic, action, franchise	content	nan
13	527	51	1	similar genre: Action, Fantasy, Adventure------similar content: action, comic book, superhero, Marvel	content	nan
13	527	283	1	similar genre: Action, Fantasy, Adventure, Science Fiction------similar content: action, superhero, based on a comic, Marvel	genre	nan
23	128	129	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: magic, based on a book, Tolkien, Writer: J.R.R. Tolkien, high fantasy	content	nan
23	128	130	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: magic, based on a book, epic battles, Tolkien, swords	content	nan
23	128	5	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: hobbits, based on a book, Tolkien, Writer: J.R.R. Tolkien, high fantasy	content	nan
23	128	690	-1	similar genre: Action	genre	Rush Hour is more likely comedy
23	128	283	1	similar genre: Action, Fantasy, Adventure------similar content: fantasy, magic	genre	nan
23	768	738	1	similar genre: Fantasy------similar content: fantasy, vampire, based on a book	content	nan
23	768	742	-1	similar genre: Fantasy------similar content: fantasy, based on a book	genre	One is film for children and one is action film
23	768	171	-1	similar genre: Fantasy------similar content: fantasy, magic	genre	One is film for children and one is action film
23	768	239	1	similar genre: Action, Fantasy------similar content: fantasy	genre	nan
23	768	95	-1	similar genre: Fantasy------similar content: fantasy, based on a book	genre	One is film for children and one is action film
23	259	32	1	similar genre: Action, Comedy, Adventure------similar content: action, comedy	genre	nan
23	259	741	1	similar genre: Action, Comedy, Adventure------similar content: sequel, comedy	genre	nan
23	259	745	1	similar genre: Action, Comedy, Adventure	genre	nan
23	259	746	1	similar genre: Action, Comedy	genre	nan
23	259	542	1	similar genre: Action, Comedy, Adventure------similar content: predictable	genre	nan
4	128	129	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: magic, based on a book, Tolkien, Writer: J.R.R. Tolkien, high fantasy	genre	nan
4	128	130	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: magic, based on a book, epic battles, Tolkien, swords	genre	nan
4	128	5	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: hobbits, based on a book, Tolkien, Writer: J.R.R. Tolkien, high fantasy	genre	nan
4	128	1	-1	similar genre: Action	genre	thriller
4	128	124	1	similar genre: Action, Adventure------similar content: magic, too long, fantasy, adventure, battle	content	nan
4	6	71	-1	similar content: romance, funny, boring, Disney, quirky	content	nan
4	6	184	-1	similar content: romance, quirky, soundtrack, boring	content	nan
4	6	185	-1	nan	genre	investgative, justice
4	6	124	1	similar genre: Action, Adventure------similar content: soundtrack, magic, funny, boring, romance	genre	nan
4	6	94	-1	similar content: comedy	genre	not a comedy
4	649	179	1	similar genre: Animation, Family------similar content: comedy, animation, Disney	genre	nan
4	649	176	1	similar genre: Animation, Family------similar content: animation, Disney	genre	nan
4	649	83	1	similar genre: Animation, Family------similar content: animation, musical, Disney	genre	nan
4	649	180	1	similar genre: Animation, Family------similar content: visually appealing, animation, magic, musical	genre	nan
4	649	90	1	similar genre: Animation, Family------similar content: animation, princess, Disney	genre	nan
14	128	129	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: magic, based on a book, Tolkien, Writer: J.R.R. Tolkien, high fantasy	genre	nan
14	128	130	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: magic, based on a book, epic battles, Tolkien, swords	genre	nan
14	128	5	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: hobbits, based on a book, Tolkien, Writer: J.R.R. Tolkien, high fantasy	genre	nan
14	128	344	1	similar genre: Fantasy, Adventure------similar content: fantasy, fantasy world, magic, adventure, based on a book	genre	similar content
14	128	508	-1	nan	genre	nan
14	768	9	1	similar genre: Fantasy------similar content: fantasy, werewolf, magic, based on a book	genre	nan
14	768	344	1	similar genre: Fantasy------similar content: fantasy, magic, based on a book	genre	nan
14	768	346	1	similar genre: Fantasy------similar content: fantasy, magic, based on a book	genre	nan
14	768	347	1	similar genre: Mystery, Fantasy------similar content: fantasy, magic, based on a book	genre	nan
14	768	348	1	similar genre: Fantasy------similar content: fantasy, plot holes, magic, based on a book	genre	nan
14	6	252	-1	similar content: boring, comedy	content	nan
14	6	99	-1	nan	genre	nan
14	6	185	-1	nan	content	genre is also different
14	6	250	1	similar content: soundtrack, funny, comedy, action, quirky	content	nan
14	6	124	1	similar genre: Action, Adventure------similar content: soundtrack, magic, funny, boring, romance	genre	nan
5	300	65	1	similar genre: Drama------similar content: heartwarming, 1940s, inspirational, feel-good	Genre	nan
5	300	69	1	similar genre: Drama	Genre	nan
5	300	233	1	similar genre: Drama	Genre	nan
5	300	119	1	similar genre: Drama------similar content: music, 1940s	Genre	nan
5	300	85	-1	nan	Genre	nan
5	522	71	1	similar genre: Animation, Family------similar content: funny, animation, Disney	Genre	nan
5	522	219	1	similar genre: Fantasy, Animation, Adventure, Family------similar content: funny, animation, Disney	Content	nan
5	522	220	1	similar genre: Comedy, Animation, Adventure, Family------similar content: funny, animation, friendship, talking animals	Content	nan
5	522	221	1	similar genre: Animation, Adventure, Family------similar content: animation, Disney	Genre	nan
5	522	222	1	similar genre: Comedy, Animation, Adventure, Family------similar content: animation, friendship, Disney	Content	nan
5	529	230	1	similar genre: Comedy, Animation, Family------similar content: animation	Genre	nan
5	529	208	1	similar genre: Fantasy, Comedy, Animation, Family------similar content: animation, children	Genre	nan
5	529	179	1	similar genre: Comedy, Animation, Family------similar content: animation, friends	Content	nan
5	529	216	1	similar genre: Fantasy, Comedy, Animation, Family------similar content: animation	Genre	nan
5	529	223	1	similar actor: Steve Buscemi------similar genre: Animation, Family------similar content: animation, monster	Genre	nan
6	775	66	1	similar genre: Drama------similar content: drama, romance, touching, love, sad	content	nan
6	775	246	-1	similar genre: Drama------similar content: romance	content	both movies have different focus.
6	775	248	1	similar genre: Drama------similar content: drama, sad	content	nan
6	775	282	-1	similar genre: Drama------similar content: drama	genre	psychological thriller vs romantic thriller
6	775	252	-1	similar genre: Drama	genre	nan
6	10	137	1	similar genre: Drama, Thriller------similar content: mystery, dark, clever, atmospheric, psychological	content	nan
6	10	112	-1	similar genre: Drama------similar content: isolation, psychological, plot twist, predictable, thought-provoking	content	nan
6	10	246	-1	similar genre: Drama, Mystery------similar content: thought-provoking	genre	sci fi vs crime drama
6	10	247	1	similar genre: Drama, Thriller------similar content: stylized, atmospheric, twist ending, cinematography, mindfuck	content	twist ending of both + overall dark undertones
6	10	280	1	similar genre: Drama, Mystery------similar content: mystery, stylized, atmospheric, twist ending, surreal	content	late resolution of mystery + twist
6	139	69	1	similar genre: Drama, Crime------similar content: disturbing, crime, atmospheric, social commentary	content	nan
6	139	273	1	similar genre: Drama, Crime------similar content: social commentary, black comedy	content	nan
6	139	119	1	similar genre: Drama, Crime------similar content: organized crime, dark, imdb top 250, atmospheric, crime	content	nan
6	139	248	-1	similar genre: Drama------similar content: coming of age, atmospheric	content	nan
6	139	185	1	similar genre: Drama------similar content: imdb top 250, social commentary, crime	content	nan
15	649	429	-1	similar genre: Animation, Family------similar content: animation, comedy	content,genre	more adult humor despite animation; other genres differ
15	649	176	1	similar genre: Animation, Family------similar content: animation, Disney	genre	family friendly, adventure, animated
15	649	529	1	similar genre: Animation, Family------similar content: animation	genre, content	adventure, animated, fantasy, teens
15	649	179	1	similar genre: Animation, Family------similar content: comedy, animation, Disney	genre, content	nan
15	649	536	1	similar genre: Animation, Family------similar content: fairy tale, animation	genre, content	nan
15	139	69	1	similar genre: Drama, Crime------similar content: disturbing, crime, atmospheric, social commentary	genre,content	nan
15	139	247	1	similar genre: Drama------similar content: dark, atmospheric, drugs, stylized, social commentary	genre,content	nan
15	139	185	-1	similar genre: Drama------similar content: imdb top 250, social commentary, crime	genre	nan
15	139	538	-1	similar genre: Drama, Crime------similar content: drugs, based on a true story, crime	genre	nan
15	139	125	1	similar genre: Drama, Crime------similar content: organized crime, crime	genre,content	good/authentic storytelling, crime
15	145	69	1	similar genre: Drama, Crime	genre, content	dark, personal film
15	145	185	-1	similar genre: Drama	content	nan
15	145	538	1	similar genre: Drama, Crime	genre,content	crime + friendship fits better than birds of prey
15	145	252	1	similar genre: Drama	genre,content	nan
15	145	125	-1	similar genre: Drama, Crime	content	nan
19	128	129	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: magic, based on a book, Tolkien, Writer: J.R.R. Tolkien, high fantasy	genre	nan
19	128	130	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: magic, based on a book, epic battles, Tolkien, swords	genre	nan
19	128	5	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: hobbits, based on a book, Tolkien, Writer: J.R.R. Tolkien, high fantasy	genre	nan
19	128	6	1	similar genre: Action, Fantasy, Adventure------similar content: fantasy, magic, adventure, silly	content	nan
19	128	170	1	similar genre: Adventure------similar content: adventure	content	nan
19	407	215	1	similar genre: Action, Science Fiction, Adventure------similar content: superhero, Robert Downey Jr., Marvel Cinematic Universe, Hulk, William Hurt	content	nan
19	407	81	1	similar genre: Action, Science Fiction, Adventure------similar content: superhero, Robert Downey Jr., Marvel Cinematic Universe, Hulk, action	genre	nan
19	407	338	1	similar genre: Action, Science Fiction, Adventure------similar content: superhero, sci-fi, Marvel Cinematic Universe, action, MCU	genre	nan
19	407	499	1	similar genre: Action, Science Fiction, Adventure------similar content: superhero, Robert Downey Jr., Marvel Cinematic Universe, Hulk, adapted from:comic	genre	nan
19	407	183	1	similar genre: Action, Science Fiction, Adventure------similar content: superhero, Robert Downey Jr., Marvel Cinematic Universe, Hulk, action	genre	nan
19	270	215	1	similar genre: Action, Science Fiction, Adventure------similar content: superhero, Dave Bautista, space, childish, Chris Pratt	genre	nan
19	270	81	1	similar genre: Action, Science Fiction, Adventure------similar content: funny, superhero, sci-fi, Dave Bautista, space	genre	nan
19	270	338	1	similar genre: Action, Science Fiction, Adventure------similar content: superhero, sci-fi, Marvel Cinematic Universe, adventure, action	genre	nan
19	270	499	1	similar genre: Action, Science Fiction, Adventure------similar content: weak villain, superhero, Marvel Cinematic Universe, action, superhero team	genre	nan
19	270	183	1	similar genre: Action, Science Fiction, Adventure------similar content: superhero, great characters, humorous, aliens, MCU	genre	nan
1	128	1	1	similar genre: Action	Action	nan
1	128	5	1	similar director: Peter Jackson------similar actor: Ian McKellen------similar genre: Action, Fantasy, Adventure------similar content: hobbits, based on a book, Tolkien, Writer: J.R.R. Tolkien, high fantasy	Actor, Genre, Content	nan
1	128	6	1	similar genre: Action, Fantasy, Adventure------similar content: fantasy, magic, adventure, silly	Genre: Fantasy	nan
1	128	46	-1	similar genre: Fantasy, Adventure------similar content: fantasy, adventure	Content	nan
1	128	17	1	similar genre: Fantasy, Adventure------similar content: fantasy, magic	Content	nan
1	129	1	1	similar genre: Action------similar content: imdb top 250, stylized, atmospheric	Genre: Action	nan
1	129	36	1	similar genre: Action, Adventure------similar content: romance	Genre: Action	nan
1	129	5	1	similar director: Peter Jackson------similar actor: Elijah Wood, Orlando Bloom, Viggo Mortensen, Ian McKellen, Sean Astin------similar genre: Action, Fantasy, Adventure------similar content: friendship, great soundtrack, high fantasy, fantasy, author:J. R. R. Tolkein	Director	nan
1	129	17	1	similar genre: Fantasy, Adventure------similar content: fantasy, magic	Genre	nan
1	129	6	1	similar actor: Orlando Bloom------similar genre: Action, Fantasy, Adventure------similar content: romance, fantasy, magic, adventure	Genre	nan
1	130	1	1	similar genre: Action------similar content: action, atmospheric	Genre, Content	nan
1	130	36	1	similar genre: Action, Adventure------similar content: action	Genre, Content	nan
1	130	5	1	similar director: Peter Jackson------similar actor: Elijah Wood, Orlando Bloom, Viggo Mortensen, Ian McKellen, Sean Astin------similar genre: Action, Fantasy, Adventure------similar content: great soundtrack, high fantasy, Director: Peter Jackson, fantasy, based on a book	Director	nan
1	130	17	1	similar genre: Fantasy, Adventure------similar content: fantasy, magic	Genre	nan
1	130	6	1	similar actor: Orlando Bloom------similar genre: Action, Fantasy, Adventure------similar content: action, fantasy, sword fight, magic, adventure	Genre, content	nan
9	769	384	1	similar genre: Romance, Drama, Comedy	genre	nan
9	769	231	1	similar actor: Emilia Clarke------similar genre: Drama, Romance------similar content: Emilia Clarke	actor	nan
9	769	87	1	similar genre: Drama, Romance, Comedy	content	nan
9	769	88	1	similar genre: Romance, Drama	content	nan
9	769	381	1	similar genre: Romance, Drama, Comedy	content	nan
9	258	387	1	similar genre: Comedy------similar content: comedy	content	nan
9	258	12	1	similar genre: Comedy------similar content: romance, comedy	genre	nan
9	258	378	1	similar genre: Comedy	content	nan
9	258	382	1	similar genre: Drama, Comedy------similar content: romance, comedy	genre	nan
9	258	383	1	similar genre: Drama, Comedy------similar content: romance, comedy	genre	nan
9	771	106	1	similar genre: Drama	content	nan
9	771	279	1	similar genre: Drama	genre	nan
9	771	88	1	similar actor: Rachel McAdams------similar genre: Romance, Drama------similar content: romance, Rachel McAdams, romantic	content	nan
9	771	377	1	similar genre: Drama, Romance------similar content: romance, romantic	content	nan
9	771	382	1	similar genre: Drama, Romance------similar content: romance	content	nan
11	7	291	-1	similar genre: Drama	genre	nan
11	7	11	-1	similar genre: Drama	genre	nan
11	7	148	-1	similar genre: Drama	content	nan
11	7	117	-1	similar genre: Action, Drama	content	nan
11	7	255	-1	similar genre: Drama	content	nan
11	9	453	-1	nan	genre	nan
11	9	454	-1	nan	genre	nan
11	9	437	1	nan	content	nan
11	9	119	1	similar content: dark, based on a book	content	nan
11	9	350	1	similar actor: Rupert Grint, Daniel Radcliffe, Emma Watson------similar genre: Fantasy, Adventure------similar content: harry potter, John Williams, school life, fantasy world, wizard	content	nan
11	268	49	-1	similar genre: Action------similar content: imdb top 250, Oscar Nominee: Best Picture, long, too long, cinematography	genre	nan
11	268	73	-1	similar genre: Action------similar content: imdb top 250, twist ending, great soundtrack, Oscar Nominee: Best Picture, too long	content	nan
11	268	433	1	similar director: Quentin Tarantino------similar actor: Christoph Waltz------similar genre: Drama------similar content: Christoph Waltz, Oscar Nominee: Best Picture, violence, Quentin Tarantino, long	director	nan
11	268	210	1	similar genre: Action, Thriller------similar content: dialogue, torture, violence, revenge, imdb top 250	genre	nan
11	268	438	1	similar content: soundtrack, cinematography, dialogue, imdb top 250, long	contet	nan
7	2	98	-1	similar genre: Drama------similar content: boring, Oscar (Best Effects - Visual Effects), long, drama, philosophical	content	nan
7	2	74	1	similar genre: Drama------similar content: twist ending, mindfuck, long, philosophical, thought-provoking	content	nan
7	2	77	-1	similar genre: Adventure	genre	nan
7	2	83	-1	similar genre: Adventure------similar content: sentimental	genre	nan
7	2	87	1	similar actor: Anne Hathaway------similar genre: Drama------similar content: Anne Hathaway, Bechdel Test:Pass	actor	nan
7	264	98	1	similar genre: Drama, Mystery------similar content: drama, Oscar Nominee: Best Picture, sad, romance, cinematography	genre	nan
7	264	74	1	similar genre: Drama------similar content: plot twist, thought-provoking, twist ending, smart	content	nan
