user	item	timestamp	label	aspects	liked/disliked-aspects	comment
22	2	-2-	4	director: Christopher Nolan------actor: Matthew McConaughey, Jessica Chastain, Anne Hathaway, Michael Caine, Casey Affleck------genre: Adventure, Drama, Science Fiction------content: space, thought-provoking, Christopher Nolan, time travel, good science	content	nan
22	648	-2-	4	director: Ron Clements, John Musker------actor: Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison, Jemaine Clement------genre: Adventure, Comedy, Family, Animation------content: Disney, animation, musical, beautiful, adventure	genre; content	nan
22	649	-2-	3	director: Byron Howard, Nathan Greno------actor: Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey------genre: Animation, Family------content: animation, fairy tale, visually appealing, Disney, musical	genre	nan
13	768	-2-	4	director: Harald Zwart------actor: Lily Collins, Kevin Zegers, Jemima West, Lena Headey, Kevin Durand------genre: Fantasy, Action, Mystery------content: bad plot, cliche characters, cliche, plot holes, based on a book	genre	nan
13	519	-2-	5	director: Chris Sanders, Dean DeBlois------actor: Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill------genre: Fantasy, Adventure, Animation, Family------content: dragons, fantasy, animation, adventure, friendship	content	nan
13	527	-2-	3	director: Bryan Singer------actor: Hugh Jackman, James McAvoy, Nicholas Hoult, Michael Fassbender, Jennifer Lawrence------genre: Action, Adventure, Fantasy, Science Fiction------content: time travel, superhero, Marvel, x-men, Jennifer Lawrence	content	nan
23	128	-2-	4	director: Peter Jackson------actor: Martin Freeman, Ian McKellen, Richard Armitage, Evangeline Lilly, Luke Evans------genre: Action, Adventure, Fantasy------content: Tolkien, Peter Jackson, fantasy world, high fantasy, epic	nan	nan
23	768	-2-	1	director: Harald Zwart------actor: Lily Collins, Kevin Zegers, Jemima West, Lena Headey, Kevin Durand------genre: Fantasy, Action, Mystery------content: bad plot, cliche characters, cliche, plot holes, based on a book	nan	nan
23	259	-2-	4	director: David Leitch------actor: Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz------genre: Action, Comedy, Adventure------content: dark humor, superhero, funny, sarcasm, 4th wall	nan	nan
4	128	-2-	4	director: Peter Jackson------actor: Martin Freeman, Ian McKellen, Richard Armitage, Evangeline Lilly, Luke Evans------genre: Action, Adventure, Fantasy------content: Tolkien, Peter Jackson, fantasy world, high fantasy, epic	genre	nan
4	6	-2-	3	director: Gore Verbinski------actor: Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush, Jack Davenport------genre: Adventure, Fantasy, Action------content: Johnny Depp, pirates, adventure, action, comedy	content	nan
4	649	-2-	4	director: Byron Howard, Nathan Greno------actor: Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey------genre: Animation, Family------content: animation, fairy tale, visually appealing, Disney, musical	genre	animated adventure
14	128	-2-	4	director: Peter Jackson------actor: Martin Freeman, Ian McKellen, Richard Armitage, Evangeline Lilly, Luke Evans------genre: Action, Adventure, Fantasy------content: Tolkien, Peter Jackson, fantasy world, high fantasy, epic	content	nan
14	768	-2-	1	director: Harald Zwart------actor: Lily Collins, Kevin Zegers, Jemima West, Lena Headey, Kevin Durand------genre: Fantasy, Action, Mystery------content: bad plot, cliche characters, cliche, plot holes, based on a book	content	nan
14	6	-2-	2	director: Gore Verbinski------actor: Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush, Jack Davenport------genre: Adventure, Fantasy, Action------content: Johnny Depp, pirates, adventure, action, comedy	content	nan
5	300	-2-	5	director: Christophe Barratier------actor: Gérard Jugnot, François Berléand, Kad Merad, Jean-Paul Bonnaire, Marie Bunel------genre: Drama------content: heartwarming, music, feel-good, choir, inspiring teacher	Genre	nan
5	522	-2-	4	director: Mark Dindal------actor: David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick------genre: Adventure, Animation, Comedy, Family, Fantasy------content: Disney, funny, animation, Disney animated feature, transformation	Genre	nan
5	529	-2-	5	director: Gil Kenan------actor: Ryan Whitney Newman, Steve Buscemi, Mitchel Musso, Sam Lerner, Spencer Locke------genre: Animation, Comedy, Family, Fantasy------content: haunted house, halloween, animation, house, friends	Genre	nan
6	775	-2-	4	director: R.J. Cutler------actor: Chloë Grace Moretz, Jamie Blackley, Liana Liberato, Mireille Enos, Joshua Leonard------genre: Drama------content: touching, romance, drama, great soundtack, sad	content	Judging from trailer Eternal Sunshine of a Spotless mind would be perfect for this movie
6	10	-2-	5	director: Martin Scorsese------actor: Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Emily Mortimer, Michelle Williams------genre: Drama, Thriller, Mystery------content: psychological, twist ending, Leonardo DiCaprio, mystery, mindfuck	content	I missed rating this movie in movielens. Good that system picked it up
6	139	-2-	3	director: Fernando Meirelles------actor: Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen------genre: Drama, Crime------content: multiple storylines, Brazil, based on a true story, drugs, crime	content	nan
15	649	-2-	5	director: Byron Howard, Nathan Greno------actor: Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey------genre: Animation, Family------content: animation, fairy tale, visually appealing, Disney, musical	genre, content, voice acting	nan
15	139	-2-	3	director: Fernando Meirelles------actor: Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen------genre: Drama, Crime------content: multiple storylines, Brazil, based on a true story, drugs, crime	content,acting,genre	I like social commentaries but less rational type or fantasy themed, this is however a well made movie that is enjoyable
15	145	-2-	2	director: Lexi Alexander------actor: Elijah Wood, Claire Forlani, Charlie Hunnam, Ross McCall, Leo Gregory------genre: Crime, Drama------content: gang brawls, Elijah Wood, extremely violent, football, friendship	genre	it’s a combo of genres not to my taste
19	128	-2-	5	director: Peter Jackson------actor: Martin Freeman, Ian McKellen, Richard Armitage, Evangeline Lilly, Luke Evans------genre: Action, Adventure, Fantasy------content: Tolkien, Peter Jackson, fantasy world, high fantasy, epic	genre	nan
19	407	-2-	4	director: Louis Leterrier------actor: Edward Norton, Liv Tyler, Tim Roth, William Hurt, Tim Blake Nelson------genre: Science Fiction, Action, Adventure------content: Edward Norton, superhero, comic book, Marvel, The Avengers	storyline	nan
19	270	-2-	5	director: James Gunn------actor: Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper------genre: Action, Science Fiction, Adventure------content: great soundtrack, space, Marvel, fun, adventure	genre	nan
1	128	-2-	4	director: Peter Jackson------actor: Martin Freeman, Ian McKellen, Richard Armitage, Evangeline Lilly, Luke Evans------genre: Action, Adventure, Fantasy------content: Tolkien, Peter Jackson, fantasy world, high fantasy, epic	Genre	nan
1	129	-2-	4	director: Peter Jackson------actor: Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom------genre: Adventure, Fantasy, Action------content: fantasy, adventure, magic, high fantasy, Tolkien	nan	nan
1	130	-2-	4	director: Peter Jackson------actor: Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom------genre: Adventure, Fantasy, Action------content: fantasy, adventure, high fantasy, magic, based on a book	nan	nan
9	769	-2-	3	director: Paul Feig------actor: Emilia Clarke, Henry Golding, Emma Thompson, Michelle Yeoh, Patti LuPone------genre: Comedy, Romance, Drama------content: Christmas, Emilia Clarke, London, British	actor,genre	nan
9	258	-2-	1	director: Wolfgang Becker------actor: Daniel Brühl, Katrin Sass, Chulpan Khamatova, Maria Simon, Florian Lukas------genre: Comedy, Drama------content: East Germany, historical, The fall of the Berlin wall, communism, Germany	genre	confused movie is German
9	771	-2-	3	director: Michael Sucsy------actor: Rachel McAdams, Channing Tatum, Sam Neill, Scott Speedman, Jessica Lange------genre: Drama, Romance------content: Rachel McAdams, romance, romantic, based on a true story, Channing Tatum	genre	nan
11	7	-2-	4	director: Noam Murro------actor: Sullivan Stapleton, Eva Green, Lena Headey, Callan Mulvey, David Wenham------genre: Action, Drama------content: female nudity, visually stunning, sequel with nothing new, action, story	genre	nan
11	9	-2-	5	director: Alfonso Cuarón------actor: Daniel Radcliffe, Rupert Grint, Emma Watson, Gary Oldman, Alan Rickman------genre: Adventure, Fantasy------content: magic, harry potter, time travel, fantasy, wizards	content	I like the series of Harry Potter
11	268	-2-	4	director: Quentin Tarantino------actor: Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender------genre: Drama, Action, Thriller, War------content: Quentin Tarantino, Brad Pitt, World War II, dark comedy, black comedy	director	nan
7	2	-2-	3	director: Christopher Nolan------actor: Matthew McConaughey, Jessica Chastain, Anne Hathaway, Michael Caine, Casey Affleck------genre: Adventure, Drama, Science Fiction------content: space, thought-provoking, Christopher Nolan, time travel, good science	content	nan
7	264	-2-	4	director: Denis Villeneuve------actor: Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Tzi Ma------genre: Drama, Science Fiction, Mystery------content: thoughtful sci-fi, thought-provoking, linguistics, beautiful visuals, plot twist	genre	nan
7	139	-2-	4	director: Fernando Meirelles------actor: Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen------genre: Drama, Crime------content: multiple storylines, Brazil, based on a true story, drugs, crime	content	nan
3	6	-2-	2	director: Gore Verbinski------actor: Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush, Jack Davenport------genre: Adventure, Fantasy, Action------content: Johnny Depp, pirates, adventure, action, comedy	content	nan
3	17	-2-	1	director: David Yates------actor: Eddie Redmayne, Katherine Waterston, Alison Sudol, Johnny Depp, Jude Law------genre: Adventure, Fantasy, Family------content: mystical, magic, wizardry, boring, dumbledore	content	nan
3	786	-2-	3	director: Kenneth Branagh------actor: Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench, Johnny Depp------genre: Crime, Drama, Mystery------content: detective, crime, mystery, based on a book, visual stuning	content	nan
2	2	-2-	4	director: Christopher Nolan------actor: Matthew McConaughey, Jessica Chastain, Anne Hathaway, Michael Caine, Casey Affleck------genre: Adventure, Drama, Science Fiction------content: space, thought-provoking, Christopher Nolan, time travel, good science	genre	nan
2	5	-2-	5	director: Peter Jackson------actor: Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom------genre: Adventure, Fantasy, Action------content: fantasy, adventure, magic, beautifully filmed, epic	genre	nan
2	264	-2-	4	director: Denis Villeneuve------actor: Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Tzi Ma------genre: Drama, Science Fiction, Mystery------content: thoughtful sci-fi, thought-provoking, linguistics, beautiful visuals, plot twist	genre	nan
8	768	-2-	3	director: Harald Zwart------actor: Lily Collins, Kevin Zegers, Jemima West, Lena Headey, Kevin Durand------genre: Fantasy, Action, Mystery------content: bad plot, cliche characters, cliche, plot holes, based on a book	Genre	nan
8	519	-2-	2	director: Chris Sanders, Dean DeBlois------actor: Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill------genre: Fantasy, Adventure, Animation, Family------content: dragons, fantasy, animation, adventure, friendship	Genre	nan
8	651	-2-	2	director: Dean DeBlois------actor: Randy Thom, Jay Baruchel, Gideon Emery, Cate Blanchett, Gerard Butler------genre: Fantasy, Action, Adventure, Animation, Comedy------content: dragons, sequel, vikings, adventure, predictable ending	nan	nan
20	535	-2-	5	director: Susanne Bier------actor: Sandra Bullock, Trevante Rhodes, Jacki Weaver, Rosa Salazar, Danielle Macdonald------genre: Thriller, Drama, Science Fiction------content: post-apocalyptic, survival, pandemic, dystopia, Sandra Bullock	content	nan
20	401	-2-	3	director: Peyton Reed------actor: Paul Rudd, Michael Douglas, Evangeline Lilly, Bobby Cannavale, Corey Stoll------genre: Science Fiction, Action, Adventure------content: superhero, Marvel, sci-fi, Paul Rudd, heist	content	nan
20	20	-2-	4	director: Brett Ratner------actor: Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart, Famke Janssen------genre: Adventure, Action, Science Fiction, Thriller------content: superhero, Hugh Jackman, comic book, mutants, Marvel	content	nan
18	524	-2-	4	director: Billy Wilder------actor: Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O’Brien------genre: Comedy, Music, Romance------content: screwball comedy, Marilyn Monroe, classic, Jack Lemmon, cross dressing	actor	nan
18	781	-2-	3	director: Nancy Meyers------actor: Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm, Adam Devine------genre: Comedy------content: feel-good, Entrepreneurship, Robert De Niro, optimistic, great story	actor : anne hathaway	nan
18	270	-2-	3	director: James Gunn------actor: Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper------genre: Action, Science Fiction, Adventure------content: great soundtrack, space, Marvel, fun, adventure	genre, actor	nan
18	401	-2-	2	director: Peyton Reed------actor: Paul Rudd, Michael Douglas, Evangeline Lilly, Bobby Cannavale, Corey Stoll------genre: Science Fiction, Action, Adventure------content: superhero, Marvel, sci-fi, Paul Rudd, heist	director	nan
18	18	-2-	5	director: Bill Condon------actor: Emma Watson, Dan Stevens, Luke Evans, Kevin Kline, Josh Gad------genre: Family, Fantasy, Romance------content: Emma Watson, musical, Disney, visually appealing, fairy tale	genre, actor, director	nan
24	5	-2-	4	director: Peter Jackson------actor: Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Orlando Bloom------genre: Adventure, Fantasy, Action------content: fantasy, adventure, magic, beautifully filmed, epic	genre	nan
24	519	-2-	4	director: Chris Sanders, Dean DeBlois------actor: Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill------genre: Fantasy, Adventure, Animation, Family------content: dragons, fantasy, animation, adventure, friendship	genre	nan
24	9	-2-	5	director: Alfonso Cuarón------actor: Daniel Radcliffe, Rupert Grint, Emma Watson, Gary Oldman, Alan Rickman------genre: Adventure, Fantasy------content: magic, harry potter, time travel, fantasy, wizards	genre	nan
24	523	-2-	1	director: Taika Waititi, Jemaine Clement------actor: Taika Waititi, Jemaine Clement, Jonny Brugh, Cori Gonzalez-Macuer, Stuart Rutherford------genre: Comedy, Horror------content: mockumentary, dark comedy, vampires, humor, New Zealand	content	nan
24	524	-2-	1	director: Billy Wilder------actor: Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O’Brien------genre: Comedy, Music, Romance------content: screwball comedy, Marilyn Monroe, classic, Jack Lemmon, cross dressing	actor, content	nan
17	272	-2-	2	director: Thomas Vinterberg------actor: Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm, Susse Wold------genre: Drama------content: painful to watch, Mads Mikkelsen, excellent acting, hard to watch, intense	content	nan
17	145	-2-	3	director: Lexi Alexander------actor: Elijah Wood, Claire Forlani, Charlie Hunnam, Ross McCall, Leo Gregory------genre: Crime, Drama------content: gang brawls, Elijah Wood, extremely violent, football, friendship	genre	nan
17	538	-2-	2	director: Lorene Scafaria------actor: Constance Wu, Jennifer Lopez, Julia Stiles, Keke Palmer, Lili Reinhart------genre: Drama, Comedy, Crime------content: strippers, crime, female friendship, Wall Street, female leads	content	nan
17	300	-2-	3	director: Christophe Barratier------actor: Gérard Jugnot, François Berléand, Kad Merad, Jean-Paul Bonnaire, Marie Bunel------genre: Drama------content: heartwarming, music, feel-good, choir, inspiring teacher	content	nan
17	49	-2-	4	director: James Cameron------actor: Sam Worthington, Zoe Saldana, Stephen Lang, Sigourney Weaver, Joel David Moore------genre: Action, Adventure, Fantasy, Science Fiction------content: futuristic, beautiful scenery, visually stunning, aliens, predictable	content	nan
21	144	-2-	4	director: Danny Boyle------actor: Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Robert Carlyle, Kelly Macdonald------genre: Drama, Crime------content: dark comedy, drugs, black comedy, social commentary, Ewan McGregor	storyline	strong storyline
21	17	-2-	2	director: David Yates------actor: Eddie Redmayne, Katherine Waterston, Alison Sudol, Johnny Depp, Jude Law------genre: Adventure, Fantasy, Family------content: mystical, magic, wizardry, boring, dumbledore	content	boring
21	40	-2-	3	director: Josh Cooley------actor: Tom Hanks, Tim Allen, Annie Potts, Tony Hale, Keegan-Michael Key------genre: Adventure, Animation, Comedy, Family, Fantasy------content: Pixar, sequel, touching, friendship, family	genre	animation, storyline
21	300	-2-	4	director: Christophe Barratier------actor: Gérard Jugnot, François Berléand, Kad Merad, Jean-Paul Bonnaire, Marie Bunel------genre: Drama------content: heartwarming, music, feel-good, choir, inspiring teacher	genre, content	nan
21	303	-2-	5	director: Tom Hooper------actor: Colin Firth, Geoffrey Rush, Helena Bonham Carter, Guy Pearce, Timothy Spall------genre: Drama, History------content: based on a true story, historical, complex characters, Colin Firth, great performances	content, script, actor	nan
12	786	-2-	3	director: Kenneth Branagh------actor: Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench, Johnny Depp------genre: Crime, Drama, Mystery------content: detective, crime, mystery, based on a book, visual stuning	genre	nan
12	532	-2-	2	director: Levan Gabriadze------actor: Shelley Hennig, Heather Sossaman, Renee Olstead, Matthew Bohrer, Moses Storm------genre: Horror, Thriller------content: social media, internet, skype, revenge, suicide	content	nan
12	151	-2-	3	director: Stephen Gaghan------actor: George Clooney, Matt Damon, Jeffrey Wright, Chris Cooper, Amanda Peet------genre: Drama, Thriller------content: complicated, George Clooney, Middle East, Matt Damon, world politics	genre	nan
12	25	-2-	2	director: Noel Black------actor: Kitty Winn, Peter Donat, William Swetland, Mary-Robin Redd, William Paul Burns------genre: Horror, Thriller	content	nan
12	156	-2-	2	director: Jason Momoa------actor: Jason Momoa, Robert Homer Mollohan, Lisa Bonet, Michael Raymond-James, Chris Browning------genre: Thriller, Drama	genre	nan
10	28	-2-	4	director: John McTiernan------actor: Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Jesse Ventura, Sonny Landham------genre: Science Fiction, Action, Adventure, Thriller------content: Arnold Schwarzenegger, aliens, action, survival, sci-fi	actor	nan
10	286	-2-	3	director: Peter Weir------actor: Robin Williams, Ethan Hawke, Robert Sean Leonard, Gale Hansen, Josh Charles------genre: Drama------content: philosophy, inspirational, Robin Williams, bittersweet, coming of age	actor	nan
10	679	-2-	4	director: Doug Liman------actor: Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton, Jonas Armstrong------genre: Action, Science Fiction------content: time loop, time travel, Tom Cruise, original plot, aliens	actor	nan
10	428	-2-	1	director: James Gunn------actor: Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper------genre: Action, Adventure, Comedy, Science Fiction------content: sci-fi, Marvel, space, humorous, Chris Pratt	content	nan
10	176	-2-	3	director: Andrew Stanton------actor: Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett------genre: Animation, Family------content: Pixar, animation, funny, Disney, heartwarming	genre	nan
16	264	-2-	3	director: Denis Villeneuve------actor: Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Tzi Ma------genre: Drama, Science Fiction, Mystery------content: thoughtful sci-fi, thought-provoking, linguistics, beautiful visuals, plot twist	content	nan
16	269	-2-	4	director: Michel Gondry------actor: Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood------genre: Science Fiction, Drama, Romance------content: surreal, thought-provoking, nonlinear, bittersweet, Jim Carrey	content	nan
16	272	-2-	3	director: Thomas Vinterberg------actor: Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm, Susse Wold------genre: Drama------content: painful to watch, Mads Mikkelsen, excellent acting, hard to watch, intense	genre	nan
16	785	-2-	4	director: Clint Eastwood------actor: Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis, Ben Reed------genre: War, Action------content: sniper, propaganda, war, military, patriotic	genre	nan
16	155	-2-	3	director: Clint Eastwood------actor: Morgan Freeman, Matt Damon, Tony Kgoroge, Patrick Mofokeng, Matt Stern------genre: Drama, History------content: Morgan Freeman, South Africa, Matt Damon, rugby, sports	content	nan
25	264	-2-	5	director: Denis Villeneuve------actor: Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Tzi Ma------genre: Drama, Science Fiction, Mystery------content: thoughtful sci-fi, thought-provoking, linguistics, beautiful visuals, plot twist	genre,content	nan
25	138	-2-	4	director: Alfred Hitchcock------actor: Anthony Perkins, Vera Miles, John Gavin, Janet Leigh, Martin Balsam------genre: Horror, Drama, Thriller------content: Alfred Hitchcock, suspenseful, classic, psychology, serial killer	genre,content	nan
25	13	-2-	3	director: David Fincher------actor: Ben Affleck, Rosamund Pike, Kim Dickens, Tyler Perry, Neil Patrick Harris------genre: Mystery, Thriller, Drama------content: unpredictable, mindfuck, Psychopathy, psychothriller, David Fincher	genre	nan
25	272	-2-	2	director: Thomas Vinterberg------actor: Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm, Susse Wold------genre: Drama------content: painful to watch, Mads Mikkelsen, excellent acting, hard to watch, intense	content	nan
25	24	-2-	1	director: James Wan------actor: Leigh Whannell, Cary Elwes, Danny Glover, Ken Leung, Dina Meyer------genre: Horror, Mystery, Crime------content: twist ending, mindfuck, clever, serial killer, surprise ending	content	nan
22	652	-2-	3	director: Gary Trousdale, Kirk Wise------actor: Paige O'Hara, Robby Benson, Richard White, Jerry Orbach, David Ogden Stiers------genre: Romance, Family, Animation, Fantasy------content: Disney, animation, fairy tale, heartwarming, beautiful	genre	nan
22	269	-2-	3	director: Michel Gondry------actor: Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood------genre: Science Fiction, Drama, Romance------content: surreal, thought-provoking, nonlinear, bittersweet, Jim Carrey	genre; storyline	nan
22	782	-2-	4	director: Jon Favreau------actor: Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Scarlett Johansson------genre: Adventure, Drama, Family, Fantasy------content: based on a book, jungle, talking animals, amazing animation, remake	genre	nan
22	272	-2-	3	director: Thomas Vinterberg------actor: Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm, Susse Wold------genre: Drama------content: painful to watch, Mads Mikkelsen, excellent acting, hard to watch, intense	genre	nan
